Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Europe & Central Asia (excluding high income),ECA,620160.692,588796.849,542341.918,523846.758,485729.077,474421.82,469431.545,447242.592,451316.589,471628.178,492962.759,501906.097,515349.831,552093.913,565899.017,585660.841,585919.868,597021.03,601057.762,559376.067,586247.524,607861.331,602294.369,605958.501,598327.345,597038.544,611502.36,628433.468,662856.762,676475.761
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Europe & Central Asia (IDA & IBRD countries),TEC,632447.992,600710.41,553571.973,536219.67,497067.746,485924.683,481444.959,458452.257,461547.04,481648.226,502342.193,511350.348,524987.022,562044.488,575967.728,595962.166,596496.166,607061.853,611346.803,569492.457,596896.115,618075.237,612660.493,616090.022,608076.862,606775.809,621276.638,638390.478,672645.004,685785.835
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,European Union,EUU,69804.768,67676.16,64759.805,65534.672,62771.202,62927.972,64816.325,62897.067,60975.635,59605.102,58308.308,58281.631,57996.005,60450.808,58884.758,60271.035,60553.402,59690.814,60673.402,58483.813,60719.138,57226.826,57709.827,56283.932,52055.766,52784.578,52614.224,53493.175,52500.624,52148.872
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Fragile and conflict affected situations,FCS,332575.151,322557.859,326605.006,342554.511,359590.217,381454.389,407622.579,428084.967,447233.555,439666.643,461172.584,458642.48,436446.572,427974.063,457741.622,467310.031,468210.493,465265.455,472637.317,458362.19,478920.852,440305.723,464713.855,448144.704,433890.256,432705.207,428460.963,433922.821,427175.277,418793.735
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Heavily indebted poor countries (HIPC),HPC,31284.509,36144.664,37030.456,36304.305,35824.856,35880.807,38243.625,40201.84,41283.758,42014.373,43234.546,46003.154,47979.563,46685.319,51366.144,53916.267,56499.854,55588.34,57001.928,58141.213,60082.7,65548.891,62198.285,64649.876,66878.567,68766.36,67721.381,69322.802,71252.759,71536.822
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,High income,HIC,479101.048,487765.446,494750.288,495454.771,501187.636,507890.329,516791.663,523513.738,523137.081,513902.709,525786.842,526527.515,520944.124,537987.53,542615.311,554842.057,563974.846,569818.277,584920.414,565863.997,596684.487,625204.638,645854.502,661319.719,683412.607,691818.945,681616.458,696796.483,738519.507,772906.43
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,IBRD only,IBD,1427192.59,1391322.853,1348142.864,1362362.156,1352932.928,1399927.838,1421274.617,1431958.87,1449776.41,1465724.439,1518456.198,1534021.976,1543028.725,1643794.713,1754961.177,1845279.14,1898938.292,1955658.136,1987128.646,1961487.26,2053431.186,2096072.617,2154036.586,2161266.425,2171425.277,2165903.634,2162820.155,2199995.585,2251699.001,2250043.722
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,IDA & IBRD total,IBT,1583963.48092,1563338.7506,1528492.0052,1549508.449,1547820.325,1601220.43,1634304.25,1648766.09,1668249.919,1686555.585,1751628.686,1774862.333,1784311.8,1894863.853,2007453.549,2101706.293,2157546.989,2211348.876,2244583.031,2220123.497,2327328.658,2368328.557,2391159.056,2396501.242,2406130.341,2393315.949,2383616.811,2426564.486,2485241.881,2488636.989
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,IDA blend,IDB,96489.419,106400.869,110144.919,111155.87,112317.721,116075.341,125464.077,125224.512,123447.347,122257.883,129730.017,133232.845,127733.972,137757.2,141464.727,142964.055,142541.274,139861.592,140868.211,137391.43,144559.749,144531.136,142576.624,140222.41,139523.198,139242.286,136133.451,137695.818,144967.084,147933.351
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,IDA only,IDX,60281.47192,65615.0286,70204.2222,75990.423,82569.676,85217.251,87565.556,91582.708,95026.162,98573.263,103442.471,107607.512,113549.103,113311.94,111027.645,113463.098,116067.423,115829.148,116586.174,121244.807,129337.723,127724.804,94545.846,95012.407,95181.866,88170.029,84663.205,88873.083,88575.796,90659.916
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,IDA total,IDA,156770.89092,172015.8976,180349.1412,187146.293,194887.397,201292.592,213029.633,216807.22,218473.509,220831.146,233172.488,240840.357,241283.075,251069.14,252492.372,256427.153,258608.697,255690.74,257454.385,258636.237,273897.472,272255.94,237122.47,235234.817,234705.064,227412.315,220796.656,226568.901,233542.88,238593.267
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Late-demographic dividend,LTE,868540.811,835633.509,817256.452,806282.137,794697.784,813812.068,808865.585,800633.942,798156.36,806285.683,828477.614,851837.42,874870.219,959786.829,1024194.067,1092770.033,1132981,1174937.579,1189148.017,1195345.34,1270986.409,1335252.605,1334534.561,1362707.023,1367144.237,1360946.904,1325836.186,1351218.655,1408292.117,1445211.994
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Latin America & Caribbean,LCN,187436.432,198105.565,199438.598,203524.929,206695.712,220999.62,240284.167,255481.014,260916.962,249082.947,258772.932,260234.341,253375.052,251376.06,268247.269,274305.28,275870.563,272843.244,276641.427,262605.209,267282.292,271483.406,285706.021,290095.335,289922.751,281273.765,268964.489,246328.316,227419.039,210798.764
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Latin America & Caribbean (excluding high income),LAC,75715.948,76545.778,77517.209,77978.838,79004.468,80883.274,84930.99,89345.606,91569.224,92714.578,95804.332,97681.213,99729.195,105791.974,110221.755,111556.737,113690.987,112533.436,114771.486,111617.436,115568.886,118506.2,122877.015,125147.229,127454.345,125302.359,122938.943,118853.629,118684.412,121351.697
