Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Libya,LBY,57507.5,62075.95,56199.58,59221.41,65584.06,68877.52,69879.67,65388.88,65397.6,60702.31,64035.8,60478.02,58216.06,63536.46,68639.26,73970.69,76071.84,75940.46,76771.61,70358.19,74212.35,29853.95,70807.09,51805.23,34529.59,33717.89,33829.37,51332.86,58796.08,63353.25
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Liechtenstein,LIE,1.939,1.992,2.031,2.062,2.087,2.117,2.417,2.184,2.249,2.3,2.579,2.386,2.678,2.734,2.786,2.829,2.791,2.795,3.09,2.765,2.795,2.77,2.78,2.83,2.57,2.61,2.565,2.571,2.577,2.582
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Lithuania,LTU,7124.097,7052.375,7348.39,6292.051,5592.052,5179.035,5013.724,5005.105,4865.514,4601.102,4420.188,4163.274,4200.563,4256.936,4300.787,4264.26,4224.158,4226.26,4065.65,3932.31,3878.994,3716.273,3688.271,3575.941,3479.471,3448.057,3353.888,3266.362,3118.157,3033.096
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Luxembourg,LUX,602.335,611.913,610.975,607.356,596.994,603.576,604.035,598.081,593.729,614.988,592.317,593.778,594.277,582.87,578.45,573.286,567.868,577.032,580.783,579.925,578.65,558.985,550.972,557.293,562.749,562.824,563.591,570.952,559.942,558.713
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Madagascar,MDG,16563.88,16503.54,16709.73,17000.55,16548.63,16758.38,16768.19,16754.77,17201.36,17035.18,16811.18,15929.02,14912.34,15917.52,15362.03,17346.98,16893.31,17648.95,17146.33,17546.79,17578.81,16995.87,17461.22,16068.54,16173.5,15833.42,16541.97,15694.9,15997.33,15951.44
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Malawi,MWI,1349.568,1341.323,1334.51,1348.808,1257.645,1279.502,1320.978,1308.849,1443.176,1438.865,1532.991,1531.051,1584.185,1673.06,1647.805,1732.802,1772.086,1913.984,2092.248,2158.281,2381.265,2487.293,2647.45,2766.215,2899.708,3096.108,3273.4,3377.098,3766.196,3952.437
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Malaysia,MYS,18556,19194.47,19429.68,20083.04,21051.13,21694.19,22647,23713.52,23773.01,23966.84,24821.61,25097.63,25854.82,26889.31,28316.29,29197.19,29641.29,30732.3,31779.24,31523.36,31789.48,31961.02,32762.96,34551.43,35467.64,36253.02,36240.99,35987.45,36479.32,36807.33
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Maldives,MDV,42.617,44.242,45.866,47.491,49.116,50.741,52.463,54.187,55.909,57.631,59.353,61.6,63.846,66.093,68.339,70.586,74.442,78.298,82.154,86.01,89.866,94.782,99.697,104.612,109.527,114.442,119.087,123.732,128.376,133.021
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mali,MLI,8831.159,8795.984,8807.447,8920.745,9093.605,9328.045,9826.985,9963.485,10528.23,11242.46,12015.21,11920.68,12156.33,12691,13820.65,14366.7,14307.29,14921,15695.37,15819.42,17016.5,17321.38,17718.42,18307.01,18514.12,19139.51,20955.22,21430.03,22197.32,22961.69
